time_s,est_x,est_y,est_z,gt_x,gt_y,gt_z,error_3d_m,rms_residual,n_meas
0.0569,1.445,0.0093,0.3644,1.335,0.012,0.084,0.3012,0.0611,23
0.1569,1.4592,-0.0049,0.2969,1.335,0.012,0.084,0.2471,0.071,26
0.2569,1.4482,0.0052,0.3172,1.335,0.012,0.084,0.2593,0.058,32
0.3569,1.4625,0.0242,0.3547,1.335,0.012,0.084,0.2995,0.1103,25
0.4569,1.4559,0.0195,0.1573,1.335,0.012,0.084,0.1416,0.0583,25
0.5569,1.4405,0.0136,0.1277,1.335,0.012,0.084,0.1142,0.0523,16
0.6569,1.4239,0.0223,0.3515,1.335,0.013,0.084,0.282,0.0697,22
0.7569,1.3956,0.0422,0.2386,1.335,0.0125,0.084,0.1687,0.0427,18
0.8569,1.4207,0.0769,0.3744,1.335,0.012,0.084,0.3097,0.0276,19
0.9569,1.5897,-0.0965,0.0219,1.335,0.012,0.084,0.2838,0.4988,24
1.0569,1.4443,0.0345,0.4149,1.335,0.012,0.084,0.3493,0.127,29
1.1569,1.4018,-0.0347,0.2191,1.335,0.012,0.084,0.1578,0.0529,22
1.2569,1.42,-0.0312,0.1889,1.335,0.012,0.084,0.1418,0.1051,23
1.3569,1.4268,0.0493,0.2059,1.335,0.0125,0.084,0.1569,0.1106,24
1.4569,1.4114,0.0493,0.2692,1.335,0.012,0.084,0.2038,0.0643,24
1.5569,1.3902,0.0733,0.3343,1.335,0.012,0.092,0.2559,0.1444,19
1.6569,1.4367,0.0195,0.269,1.346,0.006,0.126,0.1698,0.0696,21
1.7569,1.3554,0.1357,0.1949,1.369,-0.007,0.153,0.1493,0.2293,23
1.8569,1.4433,0.0691,0.2197,1.395,-0.024,0.16,0.1207,0.1115,21
1.9569,1.4274,0.0632,0.2896,1.4165,-0.0405,0.159,0.1671,0.1223,26
2.0569,1.3867,0.0573,0.3179,1.424,-0.0505,0.161,0.194,0.177,22
2.1569,1.5716,-0.1082,0.3822,1.4175,-0.051,0.159,0.2772,0.1872,28
2.2569,1.4945,-0.0231,0.3812,1.397,-0.044,0.161,0.2417,0.0898,25
2.3569,1.4676,-0.0475,0.3182,1.376,-0.034,0.165,0.179,0.0374,24
2.4569,1.4817,-0.0346,0.6626,1.36,-0.023,0.17,0.5075,0.1649,17
2.5569,1.6328,0.1101,-0.3635,1.348,-0.016,0.176,0.6229,0.9033,20
2.6569,1.4514,-0.0078,0.2835,1.334,-0.009,0.189,0.1507,0.0465,27
2.7569,1.497,-0.0481,0.3091,1.322,-0.003,0.208,0.2071,0.048,25
2.8569,1.3836,0.0474,0.1379,1.313,0.0,0.2345,0.1287,0.1184,26
2.9569,1.3908,-0.0246,0.3639,1.309,0.003,0.2615,0.1339,0.0731,20
3.0569,1.3868,0.0151,0.3745,1.308,0.008,0.292,0.1143,0.0696,25
3.1569,1.361,-0.0101,0.2953,1.309,0.012,0.3345,0.0688,0.154,26
3.2569,1.3852,0.0163,0.3464,1.311,0.017,0.384,0.0831,0.0643,27
3.3569,1.1982,-0.0045,0.3405,1.314,0.0205,0.439,0.1541,0.2874,28
3.4569,1.3851,0.0921,0.5242,1.318,0.024,0.496,0.0997,0.2452,23
3.5569,1.3772,0.0125,0.4526,1.322,0.026,0.557,0.1189,0.0421,27
3.6569,1.3406,0.0351,0.4571,1.3255,0.027,0.6225,0.1662,0.0569,24
3.7569,1.3586,0.0655,0.4803,1.329,0.03,0.6935,0.2182,0.1099,28
3.8569,1.3788,0.0478,0.4622,1.33,0.033,0.757,0.2992,0.0565,17
3.9569,1.3881,0.0451,0.4974,1.33,0.034,0.8125,0.3206,0.1387,22
4.0569,1.4471,0.0,0.6385,1.33,0.035,0.8725,0.264,0.0512,20
4.1569,1.371,0.0325,0.662,1.33,0.036,0.9315,0.2726,0.0531,22
4.2569,1.3719,0.0401,1.0976,1.33,0.035,0.9925,0.1133,0.1999,22
4.3569,1.3629,-0.0102,0.8389,1.331,0.035,1.0585,0.2264,0.0542,26
4.4569,1.3692,-0.0359,0.6211,1.331,0.032,1.119,0.504,0.2492,19
4.5569,1.2801,0.0128,0.844,1.331,0.03,1.1705,0.3309,0.1159,20
4.6569,1.3757,0.0189,1.034,1.331,0.029,1.2125,0.1843,0.0364,16
4.7569,1.4084,0.0307,1.1419,1.329,0.027,1.265,0.1465,0.0694,32
4.8569,1.4593,0.0226,1.1035,1.329,0.027,1.322,0.2545,0.0535,23
4.9569,1.4466,0.0888,1.312,1.33,0.027,1.3655,0.1424,0.0522,26
5.0569,1.3791,0.0995,1.2922,1.331,0.026,1.4045,0.1426,0.1538,22
5.1569,1.346,-0.0619,1.3483,1.333,0.026,1.4385,0.1266,0.1729,24
5.2569,1.3206,-0.0792,1.3459,1.333,0.025,1.474,0.1656,0.1436,32
5.3569,1.223,-0.1486,1.4793,1.331,0.023,1.5025,0.2041,0.162,20
5.4569,1.239,0.0076,1.2599,1.329,0.022,1.521,0.2766,0.2217,21
5.5569,1.3076,0.0166,1.3314,1.328,0.022,1.5355,0.2052,0.1796,20
5.6569,1.4495,0.0055,1.7414,1.325,0.021,1.549,0.2296,0.0656,23
5.7569,1.5152,0.0487,1.7912,1.323,0.019,1.559,0.3029,0.091,22
5.8569,1.4656,0.007,1.7503,1.321,0.016,1.565,0.2352,0.1519,22
5.9569,1.4499,0.0491,1.897,1.321,0.014,1.569,0.3542,0.0721,23
6.0569,1.2163,-0.0574,1.1914,1.323,0.012,1.5725,0.4018,0.1403,28
6.1569,1.3477,0.0144,1.5636,1.325,0.01,1.574,0.0254,0.1154,21
6.2569,1.3863,0.007,1.6556,1.326,0.009,1.575,0.1007,0.1785,29
6.3569,1.2684,-0.0169,1.7849,1.327,0.01,1.574,0.2205,0.2268,22
6.4569,1.4015,-0.0461,1.7678,1.327,0.011,1.575,0.2144,0.1169,24
6.5569,1.2732,-0.0211,1.4064,1.327,0.013,1.574,0.1793,0.2852,25
6.6569,1.3827,-0.0171,1.9522,1.325,0.016,1.573,0.385,0.1075,24
6.7569,1.1605,-0.0729,1.2412,1.323,0.017,1.572,0.3794,0.2065,24
6.8569,1.4166,0.0447,2.0905,1.322,0.017,1.5695,0.5302,0.23,26
6.9569,1.2444,-0.144,1.7243,1.3295,0.0165,1.562,0.2436,0.2225,30
7.0569,1.1202,0.0204,1.8433,1.354,0.02,1.549,0.3759,0.1428,23
7.1569,1.3592,-0.0158,1.9101,1.3845,0.035,1.5335,0.3808,0.1156,22
