vicon_m1,-2.2588,1513.9257,9.1777
vicon_m2,-989.37967,-13.3903,6.7694
vicon_m3,11.5084,4.5883,9.4594
vicon_m4,1002.0779,26.8467,11.94754
viocn_m5,1496.5268,35.2417,14.42736
vicon_m6,33.6153,-986.5074,13.7766
m1,0.0146,1.5082,0.0039
m2,-1.0020,0.0030,-0.0008
m3,-0.0003,-0.0001,0.0002
m4,0.9896,0.0020,0.0018
m5,1.4836,0.0005,0.0029
m6,0.0028,-0.9909,0.0016
an0m1,-3.1283,-3.9933,0.2419
an0m2,-3.0445,-4.0826,0.1330
an0m3,-3.0692,-3.9398,0.1308
an0,-3.1025,-4.0033,0.1806
an1m1,-3.2234,3.7605,2.8566
an1m2,-3.1074,3.7853,2.9705
an1m3,-3.1851,3.6645,2.9476
an1,-3.1929,3.7482,2.9158
an2m1,3.7406,3.6510,0.2454
an2m2,3.6399,3.7184,0.1345
an2m3,3.6940,3.5820,0.1362
an2,3.7120,3.6547,0.1850
an3m1,3.4492,-4.0390,2.9524
an3m2,3.3489,-4.1004,3.0663
an3m3,3.3890,-3.9606,3.0480
an3,3.4164,-4.0370,3.0125
an4m1,-2.8705,-4.1288,2.7747
an4m2,-2.9634,-4.0359,2.8736
an4m3,-2.8161,-4.0460,2.8697
an4,-2.8810,-4.0914,2.8314
an5m1,3.8519,-3.8674,0.2408 
an5m2,3.9495,-3.7968,0.1290
an5m3,3.8043,-3.8066,0.1286
an5,3.8661,-3.8453,0.1782
an6m1,3.5187,3.5144,2.9103 
an6m2,3.6152,3.4367,3.0206
an6m3,3.4718,3.4157,2.9938
an6,3.5272,3.4768,2.9663
an7m1,-3.1515,3.3886,0.2429
an7m2,-3.2229,3.2919,0.1315
an7m3,-3.0857,3.3402,0.1326
an7,-3.1572,3.3623,0.1807







